Scenario,Weights,Algorithm,Run,Best_Fitness,Execution_Time,Energy_Total_J,Reliability_Penalty,Geometric_Penalty,Network_Lifetime_Rounds,Convergence,Best_Solution_Vector
S1,Balanced,GA,0,1002000.0,0.21560215950012207,4.203749129405705e-05,2081.1631257874574,2000.0,164779.61491142394,"[1005000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.09339426298607922, 0.2600804608389292, 0.363350453629514, 0.37954063314865283, 0.4927433627457226, 0.44152735621608197, 0.10818990971562359, 0.5141568004403645, 0.18866999081510227, 0.9895531259619526, 0.8870762024388252, 0.26904172177014685, 0.39275847782820505, 0.8330789052145348, 0.5387023783563618, 0.8336592293597777, 0.13964793353223137, 0.7459701626397147]"
S1,Balanced,GA,1,1001000.0,0.21110010147094727,4.222391403651074e-05,2361.3672426989365,1000.0,163265.306122449,"[1005000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.2770718880554075, 0.010883341954378567, 0.5762717427298555, 0.30424809290960186, 0.6369452420478869, 0.23588609611844769, 0.11791259207971738, 0.43963653086764976, 0.5172022165797893, 0.515489201594201, 0.8348523602190403, 0.5138641753646672, 0.37728269812671145, 0.7012928757244448, 0.5354316410263505, 0.6390756120158955, 0.6741398484516179, 0.7182037329396948]"
S1,Balanced,GA,2,0.2041540692934979,0.24594688415527344,4.1861949777992e-05,0.0,0.0,177455.17090823242,"[1005000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1050.9569392135963, 1050.9569392135963, 510.98048938644985, 194.09490223336206, 10.206086240184739, 0.20613992004292667, 0.2047643773751561, 0.2047643773751561, 0.2047643773751561, 0.2047643773751561, 0.2047643773751561, 0.2047643773751561, 0.2047643773751561, 0.2047643773751561, 0.20459157168125325, 0.20459157168125325, 0.20447039625814858, 0.20447039625814858, 0.20447039625814858, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979, 0.2041540692934979]","[0.5879462689524351, 0.09400225547201901, 0.43308064888045394, 0.28668173841722255, 0.45070827852308626, 0.31669294825124916, 0.24571891560093995, 0.5094247424074331, 0.612659875661576, 0.5077198046929389, 0.7901418218067064, 0.3861822109434745, 0.4586011082690984, 0.6691523233363487, 0.5684801892612941, 0.7024660697478453, 0.5679596314450024, 0.4255953206680677]"
S1,Balanced,GA,3,1887.055621499924,0.21849989891052246,4.293676815850522e-05,3618.294150472064,0.0,174371.7266730587,"[1005000.0, 1004000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924, 1887.055621499924]","[0.5025430187714207, 0.09906008254273879, 0.5415273192537049, 0.35556302261154915, 0.6175049321663714, 0.31449496539277055, 0.13359133085028496, 0.38135897464420176, 0.380373253418013, 0.544613070435512, 0.8102041881553577, 0.4744985888592361, 0.35852616107942725, 0.7939080266025405, 0.564774745396824, 0.8915107050299608, 0.926770600843249, 0.3356277750527774]"
S1,Balanced,GA,4,1001000.0,0.21340608596801758,4.272502645915602e-05,3624.7096920925906,1000.0,163265.306122449,"[1005000.0, 1004000.0, 1004000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.2807035052806933, 0.3301098121181838, 0.6529533619007387, 0.3894633282060267, 0.5702418217958038, 0.41283354751047097, 0.28346743123832085, 0.4168102086047959, 0.39377302922741864, 0.47359943476119815, 0.8411227509221958, 0.40039495729587926, 0.38656137835924775, 0.9418374378679941, 0.5794398164080912, 0.7847598860811749, 0.31791053935280367, 0.9198397891674609]"
S1,Balanced,GA,5,1002000.0,0.21923089027404785,4.2849326465269744e-05,2506.40769149447,2000.0,173022.67969000712,"[1005000.0, 1004000.0, 1004000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.44945222097954896, 0.14424366308623437, 0.3009476216155381, 0.40426166365677174, 0.40002341551796683, 0.2352970388431871, 0.9555644919679371, 0.4257127455434535, 0.9641323951066143, 0.253416745179607, 0.7239983371148555, 0.37556883773506156, 0.41216389810704845, 0.8923683090386163, 0.5540603435822106, 0.6125683216213301, 0.5820475685547671, 0.07038781225766633]"
S1,Balanced,GA,6,1001000.0,0.21183300018310547,4.213154965312434e-05,1736.0944295256118,1000.0,163265.306122449,"[1005000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.1945994317728572, 0.4060252781237166, 0.6821986560090235, 0.21400381302492844, 0.5074747533231283, 0.20642962845336488, 0.17343861825385476, 0.5021288386158574, 0.5717801837626983, 0.5409726634710313, 0.8252656739547813, 0.38974029710785485, 0.4562750352785212, 0.7519442357450843, 0.5320056007822728, 0.6669869328694268, 0.8271933552886561, 0.6722078733665144]"
S1,Balanced,GA,7,0.20332981289930266,0.2859690189361572,4.084691331078915e-05,0.0,0.0,177400.87722577763,"[1005000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1003.4298702449073, 789.8346390059897, 789.8346390059897, 580.1971079671451, 386.92017626064273, 185.833461518836, 159.8808708782899, 159.8808708782899, 95.3981840641806, 36.35953651649401, 36.35953651649401, 36.35953651649401, 36.35953651649401, 36.35953651649401, 11.376857899111682, 11.376857899111682, 0.20754307481845308, 0.20754307481845308, 0.20754307481845308, 0.20754307481845308, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507922531625286, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20507787359808394, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.20356004041126027, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.2035321184301406, 0.20347260235329123, 0.20347260235329123, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266, 0.20332981289930266]","[0.4352979620240186, 0.11986332283298196, 0.5066632633182034, 0.3147064200806782, 0.5350718542576773, 0.3351529604956701, 0.2806072379873463, 0.4941605277771799, 0.6487464967930621, 0.47121086812214874, 0.7125437107321191, 0.5266144711525592, 0.3514757824185005, 0.633179300501323, 0.5621116489710171, 0.6545439932077702, 0.39881591455450927, 0.47103565827415916]"
S1,Balanced,GA,8,1001000.0,0.21217679977416992,4.2229856296389005e-05,2323.5049291674886,1000.0,177679.190969536,"[1005000.0, 1004000.0, 1004000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.49733327575780506, 0.10748874600562075, 0.331647344063999, 0.34825584526233067, 0.6605559333585316, 0.43727915759807334, 0.27666886799471235, 0.4760598905777421, 0.3006811642861196, 0.46837634729597943, 0.7551614930415409, 0.40263697566678436, 0.8256118661718679, 0.010570472264864628, 0.5778224427868447, 0.8286187396314245, 0.30884663602646345, 0.14370811752233403]"
S1,Balanced,GA,9,1001000.0,0.21277832984924316,4.213669788883247e-05,2052.7624209494193,1000.0,163265.306122449,"[1004000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.5426893652117046, 0.14569062486180917, 0.4912394973085067, 0.3174703942429207, 0.3255962569763017, 0.36947705453504887, 0.3502072831483496, 0.7179771420262858, 0.40410151996314836, 0.5497512761052982, 0.7967525042124375, 0.37383217703986427, 0.4170782405292317, 0.6081882847930838, 0.6062990920250536, 0.8412932346562397, 0.730644577228228, 0.862220608025043]"
