Scenario,Weights,Algorithm,Run,Best_Fitness,Execution_Time,Energy_Total_J,Reliability_Penalty,Geometric_Penalty,Network_Lifetime_Rounds,Convergence,Best_Solution_Vector
S1,Balanced,PSO,0,1001000.0,0.12225508689880371,4.110636255828431e-05,488.01366809056077,1000.0,172486.56009240632,"[1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.7281732352018145, 0.5817897307061227, 0.6636310979072524, 0.28366010804414143, 0.5487255973315949, 0.4095548985527176, 0.16701406193231938, 0.38566236949708144, 0.40248270925605706, 0.5301617145026557, 0.7870720292679482, 0.4556324468639011, 0.3726334936064399, 0.6703901335112116, 0.6087570240428192, 0.8425460484614846, 0.6161314809808202, 0.5471607399280788]"
S1,Balanced,PSO,1,1002000.0,0.12328290939331055,4.2126001262216354e-05,790.789543777197,2000.0,163265.306122449,"[1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.5055597085572093, 0.12847563548089302, 0.6807262118240516, 0.44234733065969994, 0.515463057203332, 0.34276056869093074, 0.2443102226029667, 0.5269529988213424, 0.18706294241402968, 0.8848423671696234, 0.21603774821140037, 0.1805771299233062, 0.4277141608185971, 0.6851770154116766, 0.5274304793656943, 0.6758929173083941, 0.28209232514615046, 0.608857767396284]"
S1,Balanced,PSO,2,0.20609625676249035,0.1256730556488037,4.192424371669736e-05,367.99455999107096,0.0,172761.31977503793,"[1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 369.446230188799, 334.74246514261574, 334.74246514261574, 295.45863362318715, 273.76770836203167, 273.76770836203167, 273.76770836203167, 84.81272922429011, 84.81272922429011, 84.81272922429011, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 21.719589919416222, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035, 0.20609625676249035]","[0.4879979327347989, 0.06781375158597702, 0.3923294213396821, 0.42919395776494557, 0.6406092683167589, 0.30805952663308234, 0.23823836587517652, 0.44135588396190506, 0.4439571453893485, 0.46343631543697744, 0.8542543487490327, 0.2811440889373737, 0.4646506878797461, 0.837801974250544, 0.6422878433687988, 0.7590253203234452, 0.6485247105234185, 0.4606638120991857]"
S1,Balanced,PSO,3,101.21561440192019,0.12917304039001465,4.267837259992359e-05,890.5986570219412,0.0,177777.56733645507,"[1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1192.817997339169, 1192.817997339169, 1192.817997339169, 1192.817997339169, 925.863701918015, 925.863701918015, 925.863701918015, 925.863701918015, 724.3957018877655, 724.3957018877655, 697.6809821634458, 697.6809821634458, 697.6809821634458, 697.6809821634458, 697.6809821634458, 403.7018194026365, 261.5395523264661, 146.06308221602794, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019, 101.21561440192019]","[0.5001447863467704, 0.11435154072011457, 0.450525134132957, 0.4333238624678557, 0.6346378180645278, 0.2802195683050286, 0.10673581343649392, 0.4063048939333128, 0.6849898413264802, 0.4867868301611867, 0.868225099847938, 0.28452463812463535, 0.35196665570364183, 0.8410181149791397, 0.6272929918088526, 0.7523427184062642, 0.3990843648569711, 0.41678332140330393]"
S1,Balanced,PSO,4,1002000.0,0.1208350658416748,4.3722694436305144e-05,4751.306301251627,2000.0,163265.306122449,"[1005000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.594922827593991, 0.10518996906733441, 0.5036727425324707, 0.37551725712143713, 0.6016552078886801, 0.4480639856893518, 0.25919869842056964, 0.2859662362697742, 0.8973219267809105, 0.1814464450929611, 0.875824063197963, 0.3555998913127295, 0.3793240601857248, 0.6544299514183337, 0.8278107981890329, 0.14754701358916417, 0.43148969703535545, 0.8572672608383278]"
S1,Balanced,PSO,5,1001000.0,0.11979436874389648,4.201202492725732e-05,1075.778393778637,1000.0,174010.69585440267,"[1006000.0, 1006000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0]","[0.5769807807381542, 0.06518926737228703, 0.6759693475634986, 0.3026933484785557, 0.6475696400841615, 0.4469753843586282, 0.24146806737023907, 0.4145343255080033, 0.3006470424586245, 0.4549106089043527, 0.8640198148968661, 0.3695120460505924, 0.36876434210717973, 0.6840891261899364, 0.46460059824642186, 0.3389121842782937, 0.4535854093223698, 0.6167274908393987]"
S1,Balanced,PSO,6,1001000.0,0.12094593048095703,4.314372251636319e-05,2250.142589907776,1000.0,163265.306122449,"[1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.5703193992747166, 0.1400183707364579, 0.449299301215052, 0.20062272976298812, 0.6445782382900616, 0.2124692618218741, 0.13558914673731837, 0.3997289687746462, 0.6096810044458855, 0.4664820455919071, 0.7151887822901973, 0.2826943309738805, 0.07055849565103117, 0.18362991323641029, 0.5212394797063256, 0.8395912075277002, 0.3047486187960443, 0.5535584923326549]"
S1,Balanced,PSO,7,1002000.0,0.1197669506072998,4.224891380466257e-05,4496.76932477566,2000.0,163265.306122449,"[1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.2125167300402484, 0.33416937065406627, 0.643013160505143, 0.4379336607604455, 0.5196133324537704, 0.3088206606195228, 0.18308397201099771, 0.3473954898473142, 0.47525666055769, 0.5030316861319818, 0.8434832224741019, 0.2750794643838793, 0.8244087966013146, 0.5460837084996113, 0.6036954753301121, 0.6365025803280622, 0.7846659378592901, 0.9199187346010985]"
S1,Balanced,PSO,8,1002000.0,0.12012577056884766,4.170958086667925e-05,808.2535509185078,2000.0,176570.46263471877,"[1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.5898774685392973, 0.07260679068404877, 0.5845001871063987, 0.36450605020898075, 0.4479553152902715, 0.27656957241535174, 0.22012718359797592, 0.4863645945050473, 0.6884555347775079, 0.5231503508790641, 0.16762566396920764, 0.9484338788108204, 0.07849010996442148, 0.1461051680354756, 0.6145746893302876, 0.8922851955186439, 0.4082677001881039, 0.4864846029862142]"
S1,Balanced,PSO,9,1001000.0,0.12061595916748047,4.2455190180457055e-05,2827.341908452902,1000.0,174828.63242622334,"[1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.5783323038959856, 0.0686710639557343, 0.6593685547606256, 0.2592553147804558, 0.6064526444824017, 0.27707539256103936, 0.13216775731445934, 0.33338643461825757, 0.6843830597641005, 0.48832230675186217, 0.8777016679715088, 0.37298300946650176, 0.3622975422282037, 0.6767378644491333, 0.2240723937217578, 0.6510480272223955, 0.8809295398716678, 0.44417889244507014]"
