Scenario,Weights,Algorithm,Run,Best_Fitness,Execution_Time,Energy_Total_J,Reliability_Penalty,Geometric_Penalty,Network_Lifetime_Rounds,Convergence,Best_Solution_Vector
S1,EnergyFirst,GA,0,0.32495833662789697,0.26775503158569336,4.082938115426175e-05,78.15063952010348,0.0,177774.15582148015,"[1005000.0, 1005000.0, 1004000.0, 1004000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 435.52155403859564, 220.6237051801097, 220.6237051801097, 220.6237051801097, 131.53867746238717, 131.53867746238717, 131.53867746238717, 38.72589843611634, 0.328400350359322, 0.3270317215852503, 0.326152394458874, 0.32578697645181337, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252822309447871, 0.3252266518477245, 0.3252266518477245, 0.3252266518477245, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251608522922998, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.3251591693198988, 0.32515646916439567, 0.32515646916439567, 0.32515646916439567, 0.32495985861628707, 0.32495985861628707, 0.32495985861628707, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697, 0.32495833662789697]","[0.49107525583890477, 0.14486885767535673, 0.6622395861265182, 0.42621884539744714, 0.3620152909092704, 0.25408633864903196, 0.2644854929397048, 0.4503111817019899, 0.5740214187963717, 0.5470452475545212, 0.7847535185447772, 0.4737934078208196, 0.41820086898518993, 0.7610409892098666, 0.5362463269895281, 0.7570352594729434, 0.5787797585279505, 0.45138970836374825]"
S1,EnergyFirst,GA,1,0.32503245221568633,0.2632889747619629,4.111949298112637e-05,168.29789504412815,0.0,177777.77231320523,"[1006000.0, 1005000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 340.6537585491904, 243.76740148045835, 108.89402464300004, 38.29149382134293, 29.126974197964078, 18.10352498005774, 0.3296661271810571, 0.3296661271810571, 0.32691537464992043, 0.32691537464992043, 0.32691537464992043, 0.32691537464992043, 0.32691537464992043, 0.32662056581097176, 0.32570597563436593, 0.32570597563436593, 0.32551006399355775, 0.32551006399355775, 0.32551006399355775, 0.32551006399355775, 0.32541027670142425, 0.32541027670142425, 0.32541027670142425, 0.32541027670142425, 0.32541027670142425, 0.32541027670142425, 0.32541027670142425, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.325258838098264, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.3251569603536988, 0.32503245221568633, 0.32503245221568633]","[0.5721598187272113, 0.13650646930678811, 0.5507599558510411, 0.44202564100517683, 0.6504175192495375, 0.33200733298311336, 0.29286960800440653, 0.5438185007585996, 0.6896034832593879, 0.5416366263168212, 0.8458032305959584, 0.519877938690421, 0.4549730843235582, 0.8920761592970666, 0.6001618882990857, 0.7569772447702744, 0.5301515286099772, 0.45290612625813764]"
S1,EnergyFirst,GA,2,1002000.0,0.22046589851379395,4.261548625174026e-05,2321.8499084214063,2000.0,163265.306122449,"[1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.6356695502234037, 0.004961151087413573, 0.6167148480007881, 0.289180444526135, 0.3915963045192954, 0.4209448117617721, 0.6806716939819197, 0.9455610056066833, 0.32804327872123107, 0.46112737634407674, 0.8423145577595901, 0.2842543882044445, 0.4378255151856645, 0.7941789833407809, 0.5273136122196121, 0.6427178253816489, 0.22363928548741407, 0.5890300728742196]"
S1,EnergyFirst,GA,3,0.325254759471004,0.23958086967468262,4.112936769669174e-05,266.24555226655815,0.0,177541.77356732276,"[1005000.0, 1004000.0, 1004000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 912.1898985099513, 529.9793479468525, 529.9793479468525, 529.9793479468525, 529.9793479468525, 213.4506678681309, 149.0552252415808, 93.4955111006523, 68.19815342512125, 14.57131148194394, 14.57131148194394, 11.23480209942748, 11.23480209942748, 11.23480209942748, 3.7273078557112385, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.32693755596667, 0.325254759471004, 0.325254759471004]","[0.4519039654926753, 0.09673787612432361, 0.3247308928839008, 0.40833111209285666, 0.449721069229548, 0.43276508962613636, 0.11240835889520084, 0.5469692892944441, 0.5024890787371336, 0.5192263487272888, 0.8381353399036237, 0.502393876095536, 0.4538675474105367, 0.7135071421426962, 0.6087925889151141, 0.7853803687472747, 0.4554921335735119, 0.4625235428954846]"
S1,EnergyFirst,GA,4,0.325372488410989,0.2900691032409668,4.1221037311695634e-05,419.3125692015542,0.0,177656.59097324114,"[1004000.0, 1004000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 541.8478186216016, 360.0040809304945, 360.0040809304945, 38.212078180712965, 22.267691627020906, 4.982887996818998, 0.329696627994982, 0.329696627994982, 0.329696627994982, 0.329696627994982, 0.329696627994982, 0.329696627994982, 0.329696627994982, 0.329696627994982, 0.32901254141655517, 0.327590784986235, 0.327590784986235, 0.327590784986235, 0.32696199494733663, 0.32696199494733663, 0.32696199494733663, 0.32696199494733663, 0.32696199494733663, 0.32696199494733663, 0.3266231670283516, 0.3266231670283516, 0.3266231670283516, 0.3266231670283516, 0.3266231670283516, 0.3266231670283516, 0.3266231670283516, 0.3266231670283516, 0.3266231670283516, 0.3265319187230548, 0.3265319187230548, 0.3265319187230548, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32641482243555775, 0.32624795786578914, 0.32624795786578914, 0.32624795786578914, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257228408410435, 0.3257010848327284, 0.3257010848327284, 0.3257010848327284, 0.3257010848327284, 0.3257010848327284, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.32566147958641056, 0.325372488410989, 0.325372488410989, 0.325372488410989, 0.325372488410989, 0.325372488410989, 0.325372488410989, 0.325372488410989, 0.325372488410989, 0.325372488410989, 0.325372488410989]","[0.5145347528746343, 0.09187988161621985, 0.549546190464636, 0.3567173224842697, 0.32712868665503436, 0.40068956335480377, 0.252063024385737, 0.42874064885888086, 0.3143118239906474, 0.5003905311262588, 0.8962068032756246, 0.4934382617692906, 0.35622385506866494, 0.6117816558408355, 0.591366326059777, 0.7420736248579033, 0.513071500590128, 0.5204970913135726]"
S1,EnergyFirst,GA,5,1001000.0,0.2158946990966797,4.372306924689706e-05,8476.76117093559,1000.0,163265.306122449,"[1005000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.458497622996369, 0.11563177300911165, 0.47494818555800944, 0.4040063558397313, 0.3191747520687708, 0.3065428905461901, 0.18541722530214877, 0.34537599845602995, 0.32217826968293706, 0.5082385712021101, 0.3252579157474751, 0.827809871186645, 0.4650143516890488, 0.7778217936555868, 0.5601026747644474, 0.641687545253108, 0.9836246138330557, 0.031302221812928965]"
S1,EnergyFirst,GA,6,1001000.0,0.21576690673828125,4.2134299742595626e-05,2051.749377156898,1000.0,163265.306122449,"[1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.6272367232122801, 0.4271092036483861, 0.4589980769800799, 0.4003755025710355, 0.6868710824970538, 0.36158639269847703, 0.243207300261436, 0.3779464921774357, 0.3583020892628931, 0.4559570395985785, 0.843877093373014, 0.4659915622342973, 0.39493833167813874, 0.6596593443961289, 0.6049194576681525, 0.8897353582589346, 0.04434647930587843, 0.49910912445323874]"
S1,EnergyFirst,GA,7,1002000.0,0.21570086479187012,4.362258859298392e-05,5403.078791674222,2000.0,163265.306122449,"[1005000.0, 1005000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.8022162373724335, 0.17271966508872605, 0.6749913195035294, 0.4073338249295313, 0.38382105105196507, 0.37770853029177287, 0.26443290952338816, 0.35080627796554287, 0.08623732520030425, 0.2247263674092752, 0.8147919362459947, 0.2857679912700267, 0.4153434146237218, 0.7503341142824924, 0.6031030658581474, 0.8943742202611649, 0.0014667017688894113, 0.31506240686708875]"
S1,EnergyFirst,GA,8,0.3254493301615407,0.2637922763824463,4.127175650557482e-05,239.09202816736155,0.0,177649.65444327408,"[1005000.0, 1005000.0, 1004000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 223.007661185816, 169.59390708338015, 33.822661010994224, 16.747283932647473, 16.747283932647473, 6.406942426768655, 6.406942426768655, 6.406942426768655, 5.327708002344072, 5.327708002344072, 0.3334381191854671, 0.33309425893857525, 0.33309425893857525, 0.33309425893857525, 0.33198572294500445, 0.33198572294500445, 0.330636158115247, 0.32991577791661353, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3264482352839921, 0.3263808627269092, 0.3263808627269092, 0.3263808627269092, 0.3263808627269092, 0.3263808627269092, 0.3263808627269092, 0.3263808627269092, 0.326254748511324, 0.3262130211323471, 0.32620849515003003, 0.32620849515003003, 0.32620849515003003, 0.32620849515003003, 0.32620849515003003, 0.32620849515003003, 0.3260389516208455, 0.3260389516208455, 0.3260389516208455, 0.3260389516208455, 0.3260389516208455, 0.3259434487951111, 0.3259434487951111, 0.3259434487951111, 0.32592229953271756, 0.32592229953271756, 0.32592229953271756, 0.32592229953271756, 0.32592229953271756, 0.32592229953271756, 0.32592229953271756, 0.32592229953271756, 0.3254493301615407]","[0.5610457309268069, 0.10884214947464343, 0.5912186046627168, 0.29098227810180766, 0.4130313281582406, 0.41452729239404107, 0.28789871680102797, 0.4714500492151553, 0.6729679422685287, 0.4520862610564821, 0.7724918455574183, 0.4450221976261787, 0.4554244431226383, 0.6435122551127639, 0.5877391214320004, 0.6442070999813546, 0.5532128846218904, 0.4330520308083817]"
S1,EnergyFirst,GA,9,1001000.0,0.21502280235290527,4.1645416893659065e-05,1518.6514100027857,1000.0,163265.306122449,"[1005000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.3657551704738441, 0.9934183434150398, 0.6157300580373704, 0.39292169725447734, 0.638484583959157, 0.26346760471442066, 0.2280907995543101, 0.2875008625669846, 0.6659452294182068, 0.45085115449764257, 0.7615718116773345, 0.5354803183030965, 0.440179680728783, 0.6388163006402867, 0.6208147361662656, 0.7254782149969004, 0.17642441400053488, 0.7928604648223774]"
