Scenario,Weights,Algorithm,Run,Best_Fitness,Execution_Time,Energy_Total_J,Reliability_Penalty,Geometric_Penalty,Network_Lifetime_Rounds,Convergence,Best_Solution_Vector
S1,EnergyFirst,PSO,0,1001000.0,0.1216888427734375,4.178576332048647e-05,1651.4072117973462,1000.0,177764.00523035903,"[1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.5772544780712077, 0.1454217951186052, 0.6963339283477614, 0.393959900507201, 0.47889605023074017, 0.3420960603139414, 0.18035985703728358, 0.5192490638966144, 0.9164531701264824, 0.7664669498672041, 0.8913133514322804, 0.38288360291763707, 0.4768412445586461, 0.7381152708258496, 0.5262324603854819, 0.6584771807076256, 0.7767452993879741, 0.3549990036827706]"
S1,EnergyFirst,PSO,1,1001000.0,0.1224679946899414,4.119899424038598e-05,1478.2376271986245,1000.0,177774.5958169605,"[1006000.0, 1006000.0, 1006000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.5672457712609804, 0.08169999547369403, 0.41452259611876396, 0.7068127420847353, 0.46089546481608273, 0.23387240845237434, 0.224975499206356, 0.4619542267276671, 0.508903540057228, 0.4574767810313569, 0.865455435326779, 0.5055061799815177, 0.3710398621241274, 0.6139131686651175, 0.6415066076364093, 0.9469132428839663, 0.8740977027249281, 0.7261320848300873]"
S1,EnergyFirst,PSO,2,341.4304643021732,0.12343072891235352,4.372259087348005e-05,4062.805818051361,0.0,163265.306122449,"[1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 579.3880400987717, 579.3880400987717, 579.3880400987717, 579.3880400987717, 579.3880400987717, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732, 341.4304643021732]","[0.5084823696625143, 0.06417791131294316, 0.6789115271043459, 0.4464157450046534, 0.43377701686803233, 0.21957960552900882, 0.24102226413107336, 0.3294065515772829, 0.5048023061326135, 0.458390389878028, 0.7094119959690459, 0.39942307011708816, 0.35570311460489024, 0.713260648631164, 0.6042415256816525, 0.6587830518291654, 0.9180127657661828, 0.36392514091831235]"
S1,EnergyFirst,PSO,3,1001000.0,0.12408804893493652,4.1851457700786244e-05,128.08578495409364,1000.0,177747.55142136122,"[1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.4075563418670554, 0.12521829764427067, 0.3525521961521368, 0.4396241013745126, 0.5755236632261819, 0.2251222007088184, 0.27162807418895624, 0.3336619269464663, 0.301983021041656, 0.5267566993485341, 0.8452946376709953, 0.5315226523879348, 0.52463621568329, 0.6638915862567079, 0.5954154960591778, 0.8841066837752125, 0.47692684968973975, 0.40864183499268036]"
S1,EnergyFirst,PSO,4,62.404762432490216,0.12772607803344727,4.184322036006957e-05,966.7899888040821,0.0,168747.46927482987,"[1005000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 974.3641270298193, 869.7384896088219, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 531.7813683542968, 476.3613307082537, 442.8311799145799, 273.9226165550532, 254.69503384574153, 184.09047246914454, 184.09047246914454, 184.09047246914454, 184.09047246914454, 184.09047246914454, 184.09047246914454, 184.09047246914454, 184.09047246914454, 184.09047246914454, 177.98787444271144, 177.98787444271144, 177.98787444271144, 177.98787444271144, 177.98787444271144, 159.9774658974155, 159.9774658974155, 62.404762432490216, 62.404762432490216, 62.404762432490216, 62.404762432490216, 62.404762432490216, 62.404762432490216, 62.404762432490216]","[0.47960924026698115, 0.10538635579942104, 0.3614653885626299, 0.28700876097436895, 0.6643373736819371, 0.3024267533600135, 0.10002438393425772, 0.28607668678900056, 0.4604014241827104, 0.5300211093674425, 0.8772179926391223, 0.3620821726831402, 0.4153188939538627, 0.7724263228384642, 0.6085297849845414, 0.9382938892010406, 0.6427525703818441, 0.46266724007019255]"
S1,EnergyFirst,PSO,5,81.1613474011461,0.12282681465148926,4.272164815674627e-05,1657.0397884766217,0.0,163265.306122449,"[1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 195.64131424725952, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461, 81.1613474011461]","[0.44492498803057945, 0.1035458776803464, 0.3799543235909362, 0.31792556632965313, 0.4699626377126201, 0.41279510759586735, 0.10554698736177182, 0.3014800555370476, 0.43066304357531093, 0.5261837737189712, 0.7736305789692618, 0.2768340289320109, 0.47917964728081414, 0.8858720273784163, 0.6322668196671785, 0.7873405560096954, 0.35850466339879794, 0.5804573093770465]"
S1,EnergyFirst,PSO,6,1003000.0,0.12097716331481934,4.1737848263470184e-05,1928.577807634907,3000.0,163265.306122449,"[1006000.0, 1006000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0]","[0.3446248625977229, 0.5505818960115594, 0.3496105635570693, 0.37887130629936344, 0.44253099062052204, 0.2316426293237578, 0.23081086586020547, 0.25121334508319565, 0.9481572172517264, 0.8217474939476854, 0.4082833437439943, 0.6133018901979514, 0.39194827380113517, 0.6784661367887813, 0.6198662049675899, 0.8981413236104081, 0.746293274388936, 0.6728211117306078]"
S1,EnergyFirst,PSO,7,250.77587255703673,0.12247228622436523,4.201494342498606e-05,1130.6881152518054,0.0,175618.01303044806,"[1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1041.326893972092, 1041.326893972092, 1041.326893972092, 1041.326893972092, 941.5478102239387, 898.349496963269, 898.349496963269, 347.6434706570717, 347.6434706570717, 347.6434706570717, 250.77587255703673, 250.77587255703673]","[0.4557102687060011, 0.10604942756245869, 0.5175338816079322, 0.3993886595979359, 0.5486704881177397, 0.367934175394812, 0.20878046930305028, 0.5322457855854548, 0.38279372320805355, 0.4735706437744989, 0.7852398327908466, 0.5256943648204825, 0.38339691047014324, 0.6318997787592886, 0.5879074681194195, 0.9330254354060059, 0.33435195000570134, 0.3871555123276577]"
S1,EnergyFirst,PSO,8,1002000.0,0.1212010383605957,4.42225e-05,5257.193649180885,2000.0,163265.306122449,"[1005000.0, 1005000.0, 1005000.0, 1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.5777322882336567, 0.0965513635435784, 0.6480302664297914, 0.3049537783837884, 0.19867803391704636, 0.6621760596495204, 0.1693939495625752, 0.39599835704636993, 0.3165000822329276, 0.5398991172650538, 0.42237630593221187, 0.12781892561750158, 0.3614633072738888, 0.6746292230352676, 0.6349913613989081, 0.8388377048584225, 0.9326270266230211, 0.43947560920347695]"
S1,EnergyFirst,PSO,9,1001000.0,0.12207508087158203,4.224231445700446e-05,1909.6217535049936,1000.0,163265.306122449,"[1005000.0, 1005000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.7644420768185878, 0.9387004016705851, 0.510388233883552, 0.265637391384097, 0.669442983478141, 0.30935348737307483, 0.25954154765516274, 0.3097991694854878, 0.6847889182794998, 0.475879540490305, 0.8647334020511958, 0.3725952027404653, 0.3754338256704655, 0.670890176149484, 0.5624243710890964, 0.7300863483617871, 0.5073745229510758, 0.767773205031655]"
