Scenario,Weights,Algorithm,Run,Best_Fitness,Execution_Time,Energy_Total_J,Reliability_Penalty,Geometric_Penalty,Network_Lifetime_Rounds,Convergence,Best_Solution_Vector
S1,ReliabilityFirst,GA,0,1001000.0,0.2151930332183838,4.2854008547489424e-05,4545.157640226895,1000.0,175592.4575009171,"[1006000.0, 1005000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.49186795747419776, 0.12333636785127677, 0.6445947669139553, 0.3068719108855137, 0.6722104890534683, 0.26989370255598566, 0.14566705008715863, 0.5124246485239397, 0.27279256755757464, 0.6163076028547154, 0.7245169435222124, 0.5189644592133883, 0.3710260893416245, 0.879633962946929, 0.5770755193831869, 0.9316409012130585, 0.5864877406989625, 0.06370009294083812]"
S1,ReliabilityFirst,GA,1,0.08124814326636708,0.3473799228668213,4.111682881151025e-05,243.14931287974062,0.0,177765.53200000143,"[1006000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1001000.0, 1001000.0, 1925.4856487839593, 1925.4856487839593, 878.8409908388799, 878.8409908388799, 721.8094297277531, 721.8094297277531, 516.5711848469591, 357.107015905824, 0.08179541580263018, 0.08179541580263018, 0.0815580214338878, 0.08153564950593878, 0.08139962677948845, 0.0813817568478457, 0.0813817568478457, 0.0813817568478457, 0.0813113113772136, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.0812928588968847, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08126769381820206, 0.08125808815854947, 0.08125808815854947, 0.08125808815854947, 0.08125808815854947, 0.08125808815854947, 0.08125808815854947, 0.08125808815854947, 0.08125808815854947, 0.08125808815854947, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08125635552595312, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708, 0.08124814326636708]","[0.4833881433968611, 0.13973052080843895, 0.3856250617014031, 0.3925310306826302, 0.4947028337453476, 0.2915320771944956, 0.15819603267589766, 0.46689801063105785, 0.4808873559026141, 0.5451303243862126, 0.7788773924046603, 0.5029915608197612, 0.39117424338075313, 0.7386599123126799, 0.5982986512095092, 0.6943282903047175, 0.4766447700819517, 0.46885130727120794]"
S1,ReliabilityFirst,GA,2,1001000.0,0.22452116012573242,4.22561665505874e-05,3629.4510011414923,1000.0,163265.306122449,"[1005000.0, 1004000.0, 1003000.0, 1003000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.5844395247420184, 0.06552200607084113, 0.6855565965532856, 0.29019113888125236, 0.6700668208348655, 0.27569501177891376, 0.24199457087000453, 0.37247798824002476, 0.8201559785294343, 0.896199434449075, 0.7741233520735452, 0.47018888261027425, 0.41446692853188416, 0.8107972411660979, 0.5311160875058645, 0.7438854107171434, 0.35460307963496696, 0.8948340161499333]"
S1,ReliabilityFirst,GA,3,0.08128492448645686,0.257763147354126,4.1123884297083e-05,77.46023553880832,0.0,177655.9854833276,"[1005000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 3544.525313179789, 2360.6402771756643, 2360.6402771756643, 2252.681570253603, 2181.851824796607, 1243.7819287140426, 701.4712405018239, 525.1231396965472, 223.93807907957958, 110.30486221873537, 59.40157199506412, 6.937111996582176, 6.937111996582176, 6.937111996582176, 0.08176548048694854, 0.08176548048694854, 0.08176548048694854, 0.08171348475988412, 0.08168509434061827, 0.08168463364010049, 0.08158407690776022, 0.08150473376523684, 0.08150473376523684, 0.08150473376523684, 0.08150473376523684, 0.08150473376523684, 0.08136860442910565, 0.08136860442910565, 0.08136860442910565, 0.08136860442910565, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08135541186247017, 0.08128492448645686, 0.08128492448645686, 0.08128492448645686, 0.08128492448645686, 0.08128492448645686, 0.08128492448645686, 0.08128492448645686, 0.08128492448645686]","[0.5129794954909879, 0.07550561313191184, 0.33163212113497975, 0.3431956335648224, 0.5445967513829109, 0.30156655085900697, 0.16919383517683384, 0.49452728474524466, 0.6234763549653927, 0.45018317547835973, 0.7557457602821501, 0.48760616643254107, 0.43006835733964277, 0.6178098066113534, 0.6195333328668983, 0.6749579877489169, 0.42105562919858974, 0.4698279503908255]"
S1,ReliabilityFirst,GA,4,1002000.0,0.21446681022644043,4.306688704017989e-05,3025.826185337415,2000.0,165263.2716330659,"[1005000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0, 1002000.0]","[0.4995027939701526, 0.06556587899185595, 0.5276399416828669, 0.4402529588454651, 0.5206966296990172, 0.38867084080548875, 0.0007267080864170605, 0.6558832781910741, 0.6348435317018906, 0.47409289850712566, 0.7895645958097071, 0.3334553829526393, 0.42557820004039537, 0.7557916927235692, 0.1665688451102566, 0.4636506866754908, 0.7668808906717078, 0.41649742790777144]"
S1,ReliabilityFirst,GA,5,1001000.0,0.21599483489990234,4.1314179379412465e-05,400.455083993328,1000.0,167692.27491970223,"[1005000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.1486344914875628, 0.9649227048180029, 0.3765478702087167, 0.2624919813013238, 0.5072097927034348, 0.244033893993423, 0.26098002732739944, 0.44835050694915346, 0.4992820787240838, 0.49490407929800073, 0.8104985738684566, 0.5486759992717379, 0.4741206573971044, 0.8940179811621254, 0.5829761059313067, 0.7114993719596393, 0.20812123112562353, 0.6053988698472543]"
S1,ReliabilityFirst,GA,6,0.08124390573532432,0.2851829528808594,4.073193288771516e-05,0.0,0.0,177634.0080760301,"[1005000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 4396.888960121846, 3100.2530605073516, 3008.059867514546, 856.6410975312309, 719.8587381112179, 719.8587381112179, 181.77156970379716, 51.312758030338934, 0.08161650113379272, 0.08161650113379272, 0.08141591264817705, 0.08141591264817705, 0.08141591264817705, 0.08141591264817705, 0.08141591264817705, 0.08137198233760545, 0.08134591560656956, 0.081288458257126, 0.081288458257126, 0.081288458257126, 0.081288458257126, 0.081288458257126, 0.08127016735051755, 0.08127016735051755, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08126988320753363, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432, 0.08124390573532432]","[0.5848469579423895, 0.12140727175368371, 0.6476102659464953, 0.33845314628574985, 0.5087660573641196, 0.3701188708705391, 0.2694109136543654, 0.5288203945986565, 0.6739591075781274, 0.5436044666815043, 0.7122049577051003, 0.5495949914730122, 0.44147409364441603, 0.6136370224408381, 0.584134483886417, 0.6038586879726556, 0.567120384956363, 0.4532085974732558]"
S1,ReliabilityFirst,GA,7,0.08128379557653714,0.2847449779510498,4.0930572710883264e-05,0.0,0.0,177180.9683470763,"[1004000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1287.919098268511, 1287.919098268511, 990.6570333000104, 804.1673336803484, 569.6144903583653, 73.90339754378363, 73.90339754378363, 73.90339754378363, 73.90339754378363, 73.90339754378363, 73.90339754378363, 73.90339754378363, 73.90339754378363, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08283751911245274, 0.08251907836475428, 0.08251907836475428, 0.08251907836475428, 0.08251907836475428, 0.08245464632860373, 0.08245464632860373, 0.08199668157677929, 0.08199668157677929, 0.08199668157677929, 0.08159690213772021, 0.08159690213772021, 0.08159690213772021, 0.08159690213772021, 0.08159690213772021, 0.08159690213772021, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.08154418441890451, 0.0814895680046029, 0.08148890991604514, 0.08148890991604514, 0.08148890991604514, 0.08136639657526495, 0.081350376696006, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714, 0.08128379557653714]","[0.5680323912879598, 0.1480604551588336, 0.39432873472080887, 0.392703608115636, 0.5725700023121072, 0.30326847351825337, 0.2832009062648895, 0.4548571215143913, 0.4560736465012497, 0.47799549538761676, 0.7062938704339481, 0.4284720519472285, 0.4079938461204057, 0.8108809947082919, 0.5954832520432413, 0.8523554203773078, 0.5459809026456153, 0.48106903811623725]"
S1,ReliabilityFirst,GA,8,1001000.0,0.21493101119995117,4.312304007542811e-05,2688.086954979337,1000.0,163265.306122449,"[1003000.0, 1003000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.4920550747598976, 0.0794980902135648, 0.4060596633336002, 0.31491840980336516, 0.43490345883006354, 0.4482934674591592, 0.12149319199263386, 0.48549097762343574, 0.010970015703670732, 0.05616856301076312, 0.7459757231467967, 0.254653868694081, 0.44472700601358184, 0.7998465643251316, 0.5266348073167557, 0.7621372374549951, 0.5005211728215496, 0.7028985329760409]"
S1,ReliabilityFirst,GA,9,1001000.0,0.21264886856079102,4.264265168614903e-05,3662.7255140782227,1000.0,163265.306122449,"[1005000.0, 1004000.0, 1004000.0, 1003000.0, 1003000.0, 1003000.0, 1002000.0, 1002000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0, 1001000.0]","[0.5363080841303198, 0.06911730308564179, 0.4513349871894001, 0.354466685739399, 0.5939211077174383, 0.3502773046823784, 0.29036302399613834, 0.39261758840276983, 0.2832240639990967, 0.1554752610176099, 0.8007117995511387, 0.3654225700468887, 0.42213063049870514, 0.9238787895262187, 0.6421571210770654, 0.8446262345823959, 0.0666865965992367, 0.7269123419387266]"
